newCasesByPublishDate,cumCasesByPublishDate,deathsToday,deathsTillDate,Recovered
24470,5880667,95,156048,200
26144,5856528,85,155953,223
29622,5830774,94,155868,342
31117,5801561,83,155774,140
27734,5770928,77,155691,221
23511,5745526,74,155614,312
24950,5722298,75,155540,143
29173,5697912,66,155465,124
31795,5669260,64,155399,119
36389,5637975,77,155335,379
39906,5602321,82,155258,246
44104,5563006,57,155176,248
46558,5519602,63,155119,239
39950,5473477,83,155056,324
48161,5433939,69,154973,387
54674,5386340,57,154904,215
51870,5332371,52,154847,354
48553,5281098,50,154795,297
42302,5233207,43,154745,214
36660,5191459,48,154702,254
34471,5155243,39,154654,234
31772,5121245,35,154615,253
32367,5089893,43,154580,199
35707,5058093,47,154537,163
32551,5022893,40,154490,124
32548,4990916,35,154450,353
28773,4958868,33,154415,397
27334,4930534,28,154382,253
24248,4903434,29,154354,245
24885,4879616,29,154325,257
27125,4855169,30,154296,341
27989,4828463,28,154266,243
26068,4800907,26,154238,265
20479,4775301,24,154212,444
22868,4755078,18,154188,755
14876,4732434,23,154170,453
18270,4717811,17,154147,423
15810,4699868,21,154130,274
16703,4684572,28,154109,312
16135,4667870,7,154081,452
11625,4651988,16,154074,241
10633,4640507,12,154058,264
9284,4630040,20,154046,284
10321,4620968,19,154026,314
10476,4610893,17,154007,364
11007,4600623,9,153990,111
9055,4589814,13,153981,132
7673,4581006,20,153968,154
7742,4573419,12,153948,169
7490,4565813,12,153936,199
7738,4558494,11,153924,465
8125,4550944,13,153913,253
7393,4542986,15,153900,285
7540,4535754,16,153885,265
6048,4528442,15,153869,248
5683,4522476,6,153854,275
5341,4516892,13,153848,214
5765,4511669,6,153835,275
6238,4506018,12,153829,268
5274,4499878,16,153817,341
4330,4494699,12,153801,348
3165,4490438,10,153789,346
3383,4487339,11,153779,321
3240,4484056,8,153768,215
3398,4480945,12,153760,179
4182,4477705,13,153748,199
3542,4473677,8,153735,175
3180,4470297,14,153727,165
2493,4467310,9,153713,420
2439,4464900,16,153704,401
2235,4462538,15,153688,189
2694,4460446,4,153673,256
2829,4457923,18,153669,289
2874,4455221,6,153651,258
2696,4452527,4,153645,147
2412,4450392,10,153641,369
1979,4452756,13,153631,185
1926,4450777,14,153618,254
2027,4448851,14,153604,111
2193,4446824,14,153590,222
2657,4444631,15,153576,211
2284,4441975,15,153561,452
2474,4439691,20,153546,342
2357,4437217,8,153526,413
1770,4434860,11,153518,153
2047,4433090,20,153507,143
2490,4431043,17,153487,512
2613,4428553,17,153470,432
2144,4425940,22,153453,211
1946,4423796,15,153431,245
1649,4421850,16,153416,239
1671,4420201,18,153400,267
1907,4418530,15,153382,109
2381,4416623,16,153367,149
2445,4414242,17,153351,123
2166,4411797,21,153334,134
2685,4409631,25,153313,154
2064,4406946,20,153288,143
1712,4404882,25,153268,132
2061,4403170,24,153243,111
2678,4401109,29,153219,211
2729,4398431,33,153190,235
2396,4395703,35,153157,231
2524,4393307,34,153122,216
2963,4390783,23,153088,234
1882,4387820,30,153065,254
2206,4385938,40,153035,213
2596,4383732,30,152995,244
2672,4380976,42,152965,231
2491,4378305,34,152923,342
2472,4375814,47,152889,123
3568,4373343,36,152842,109
1730,4369775,39,152806,149
2589,4368045,43,152767,156
3150,4365461,38,152724,134
3030,4370321,60,152686,129
2763,4367291,44,152626,176
2379,4364529,45,152582,143
2762,4362150,44,152537,167
2297,4359388,51,152493,145
3423,4357091,40,152442,123
3402,4353668,50,152402,100
4479,4350266,62,152352,300
